density,theta1,theta2,theta3,C11,C12,C13,C22,C23,C33,C44,C55,C66
0.334667,72.5506,37.9828,15.0135,0.10162372,0.02568928,0.0295947,0.11125044,0.02883168,0.1342163999999999,0.0417106999999999,0.04350368,0.03735306
0.7901819999999999,0.0,26.1054,16.4577,0.934984,0.2770528,0.3238658,0.6779514,0.257019,0.8489704,0.2191627999999999,0.2759214,0.2366412
0.667277,0.0,68.2874,27.0613,0.6282175999999999,0.1927047999999999,0.1958822,0.5065556,0.1801246,0.5583522,0.1784813999999999,0.1916706,0.1906322
0.309678,0.0,0.0,32.0197,0.1627098,0.03693872,0.01359626,0.1623144,0.01357442,0.03126344,0.01903302,0.01874266,0.06317268
0.352236,40.4819,32.3641,76.6614,0.1301388,0.03163604,0.0326737,0.130549,0.0333865999999999,0.12483,0.04538988,0.04502268,0.04449886
0.8363459999999999,0.0,18.0125,0.0,1.0238654,0.2880842,0.38471,0.6971504,0.2864136,1.0173766,0.2328001999999999,0.3178962,0.2329485999999999
0.321062,66.6485,0.0,0.0,0.06568408,0.0242702,0.02463152,0.1313114,0.03232748,0.1318914,0.04675566,0.03372388,0.03358934
0.352532,0.0,28.7191,0.0,0.2256846,0.0214060999999999,0.0602156999999999,0.03815244,0.0210449999999999,0.2290424,0.02523728,0.08326538,0.02564578
0.664349,0.0,0.0,52.4818,0.6465268,0.212774,0.1576716,0.6260804,0.1586474,0.3569814,0.1613066,0.160905,0.2102139999999999
0.74873,32.8969,0.0,0.0,0.4296478,0.1845404,0.1850966,0.8145802,0.2858458,0.8138254,0.2643074,0.1739102,0.1732618
0.822333,0.0,0.0,20.3661,0.9529578000000002,0.3486104,0.2409541999999999,0.9507452,0.2409806,0.5833482,0.202707,0.2031007999999999,0.3014139999999999
0.349333,17.4491,17.3979,0.0,0.10532422,0.01199086,0.03611496,0.08405668,0.03193316,0.3286848,0.04674544,0.05038084,0.0182903
0.711518,17.480999999999998,17.3266,21.8673,0.6883,0.2178036,0.207903,0.6660010000000001,0.2033208,0.6228005999999999,0.187752,0.192188,0.2020042
0.615096,53.3863,89.0989,0.0,0.449852,0.1545836,0.1546536,0.4988835999999999,0.1610869999999999,0.4988876,0.1670713999999999,0.1602599999999999,0.1601648
0.758787,77.2335,48.7717,0.0,0.739351,0.2617948,0.2746858,0.71183,0.2671956,0.7759268,0.2365076,0.2430662,0.2328146
0.343396,59.0978,0.0,18.0171,0.06942858,0.02978906,0.02627456,0.1743652,0.03770666,0.1462494,0.05567224,0.03640574,0.0407560999999999
0.81545,44.9354,15.9448,15.0115,0.8073236,0.3237848,0.3238728,0.9363224,0.3540008,0.9406982,0.2870854,0.266291,0.266775
0.8557309999999999,15.7244,20.2423,15.0567,1.0114591999999998,0.3783345999999999,0.3911025999999999,0.972513,0.3802392,1.0180652,0.2938652,0.3020532,0.2927034
0.839994,16.5156,19.8524,44.2227,1.0151806,0.3897904,0.3652364,1.0007828,0.3625486,0.9009138,0.2866478,0.2883764,0.3046718
0.3477119999999999,55.5796,0.0,0.0,0.06066184,0.0283815999999999,0.02808932,0.165497,0.0434404,0.1803742,0.06263666,0.03764614,0.03768564
0.774596,29.5089,55.6245,15.2796,0.7934748,0.2747734,0.2967642,0.7310064000000001,0.2864605999999999,0.8485294,0.2482246,0.2547544,0.2389445999999999
0.64742,45.0112,19.5267,49.8321,0.5179279999999999,0.183451,0.1683458,0.61155,0.1803316,0.5073215999999999,0.1794932,0.1687534,0.1829386
0.765321,20.5731,0.0,0.0,0.4507489999999999,0.1858976,0.186469,0.8735636,0.3080645999999999,0.8702198,0.281857,0.1674982,0.1660134
0.444564,57.5023,70.2752,0.0,0.1962274,0.0614035,0.06715412,0.222702,0.07212314,0.2699384,0.09003344,0.0831684,0.07516956
0.642702,15.0853,0.0,0.0,0.18935672,0.0828654,0.08234608,0.7055468,0.2296715999999999,0.7061446,0.238163,0.08362868,0.08568326
0.432058,0.0,0.0,61.4284,0.261311,0.07329518,0.05252966,0.2705912,0.0531565,0.12072,0.06670544,0.06569492,0.0952166
0.400791,72.2059,30.4594,33.3272,0.1801482,0.0519863,0.0499236,0.1943152,0.04694474,0.182369,0.06221956,0.06404174,0.06727742
0.8954030000000001,15.2913,0.0,0.0,0.782825,0.323527,0.3268522,1.081746,0.416692,1.0887440000000002,0.3338638,0.2553674,0.2471406
0.800616,55.1398,78.1334,42.1294,0.8427048,0.3192856,0.314946,0.8634488000000001,0.3188414,0.8415302,0.2660634,0.2636748,0.2667344
0.77198,0.0,71.317,0.0,0.8197064000000001,0.285338,0.3008672,0.7306752,0.285294,0.8172071999999999,0.2474179999999999,0.2575376,0.247628
0.5306310000000001,0.0,15.9257,0.0,0.5473698,0.04002512,0.1719076,0.07049972,0.03966152,0.549842,0.04475882,0.1909602,0.04443246
0.726492,15.0509,77.3048,58.5951,0.7060544,0.2443214,0.240857,0.6756681999999999,0.236454,0.661626,0.2171622,0.2206596,0.2236313999999999
0.52181,73.6389,46.9747,46.4136,0.352757,0.10381302,0.10441004,0.3292357999999999,0.09826502,0.3319564,0.1119981999999999,0.1192858,0.1180484
0.586214,57.6242,73.5052,21.0905,0.407756,0.1354562,0.1370992,0.4262771999999999,0.1418144,0.4599316,0.1519859999999999,0.1466872,0.1451496
0.470488,44.0504,29.491,59.7647,0.2787226,0.08070398,0.07700622,0.3032894,0.07777432,0.2481136,0.09253312,0.0915309,0.0971781
0.390439,0.0,54.1796,43.6245,0.2533834,0.04774002,0.04910242,0.1231188,0.03415448,0.1403162,0.04584848,0.06579734,0.06472696
0.30698,49.1013,25.333,18.4848,0.05963648,0.0172367,0.0181287999999999,0.1113609999999999,0.02391082,0.1299706,0.03884984,0.02760364,0.02545002
0.553917,22.6359,0.0,15.9255,0.2553566,0.0998373,0.06328582,0.580919,0.1275608,0.3735489999999999,0.143772,0.07202866,0.1133144
0.738463,0.0,0.0,15.068,0.8560351999999999,0.2983102,0.1624277999999999,0.8583149999999999,0.1631694,0.4002467999999999,0.1482207999999999,0.1469768,0.2794722
0.6452,15.0164,38.4658,39.8801,0.6194305999999999,0.1714992,0.1739118,0.4802722,0.1485707999999999,0.4872037999999999,0.1503386,0.1763217999999999,0.1732942
0.59277,46.3191,58.8111,0.0,0.4260585999999999,0.128843,0.152126,0.3818515999999999,0.1456196,0.5346888000000001,0.1548217999999999,0.1614062,0.1359766
0.829801,0.0,0.0,67.4903,0.9236252,0.3532722,0.3370245999999999,0.9316806,0.3379614,0.843184,0.2769434,0.2765845999999999,0.2856568
0.618892,17.6015,0.0,0.0,0.165209,0.0748103,0.07474086,0.6603104000000001,0.2119256,0.661643,0.2244647999999999,0.0800797,0.07974246
0.382548,35.4808,43.3572,15.255,0.148125,0.02928396,0.04376066,0.119619,0.04075848,0.246144,0.05505388,0.06095348,0.03978624
0.4224979999999999,54.9357,15.5379,20.8697,0.1353319999999999,0.0532334,0.0511217,0.2607357999999999,0.0664493,0.262078,0.0866213999999999,0.06345584,0.06652958
0.357136,70.4833,0.0,0.0,0.0867103999999999,0.0323557,0.03287934,0.1630397999999999,0.0427959,0.1694744,0.05892856,0.04427468,0.04392336
0.311835,21.3864,0.0,0.0,0.02710772,0.009972978,0.0110382,0.1740237,0.04035288,0.1636666,0.06498402,0.01504696,0.013885138
0.5501060000000001,87.1489,70.2435,62.0809,0.3836058,0.1210308,0.1179652,0.3809004,0.1153053999999999,0.3710204,0.1275738,0.1292672,0.134159
0.8425370000000001,0.0,32.3443,0.0,0.9884606,0.2920094,0.3720828,0.6960958,0.2918315999999999,0.9828516,0.2442472,0.3066854,0.2442233999999999
0.527612,0.0,32.9805,0.0,0.485476,0.0603338,0.1448754,0.10200958,0.06044152,0.4811004,0.06905666,0.168633,0.07060256
0.303792,66.1202,15.4531,0.0,0.06153228,0.01945896,0.02245236,0.1053751,0.0253888,0.1177874,0.03888388,0.03193046,0.02865662
0.358748,21.0967,0.0,0.0,0.03379876,0.01721342,0.01655502,0.2609692,0.07093654,0.2525257999999999,0.09621902,0.02021806,0.021281
0.515452,41.5789,25.2876,30.3738,0.2731986,0.08544776,0.08268652,0.3687454,0.09540208,0.349444,0.1128803999999999,0.09598326,0.09941486
0.359661,87.6976,16.9088,0.0,0.1449882,0.03519022,0.03777456,0.1327456,0.03450422,0.1483905999999999,0.0474838,0.05252196,0.04882378
0.577033,0.0,66.3226,0.0,0.4673526,0.1242504,0.1471932,0.3025554,0.1227244,0.4642416,0.1329274,0.1584986,0.134366
0.646474,76.0668,0.0,63.582,0.5130859999999999,0.1814527999999999,0.1720286,0.5696808000000001,0.178897,0.5055292,0.179112,0.1729947999999999,0.1819247999999999
0.588655,18.7348,75.8041,63.9398,0.4522202,0.1422346,0.140444,0.4335718,0.1396109999999999,0.4204166,0.1477952,0.148741,0.1508858
0.397184,49.3089,0.0,0.0,0.07458004,0.03896392,0.03891798,0.2449733999999999,0.06552756,0.2469983999999999,0.08942678,0.04845566,0.0488457
0.355607,20.2437,78.3153,22.5638,0.1482056,0.03401204,0.03589434,0.11354452,0.03236042,0.1459566,0.04557668,0.05061272,0.0470386
0.625545,0.0,56.1713,0.0,0.5801552,0.148718,0.1908892,0.3421114,0.14866,0.57953,0.153942,0.1934568,0.1539422
0.862513,0.0,19.6443,46.9611,1.05157,0.401606,0.3759035999999999,1.0110098,0.3661688,0.906959,0.2881198,0.2949,0.3118852
0.639955,26.0639,89.8282,17.9368,0.5157112,0.1725664,0.1712348,0.5329491999999999,0.1758874,0.5375545999999999,0.1764957999999999,0.1715186,0.1728723999999999
0.8053819999999999,0.0,0.0,62.6491,0.8952979999999999,0.3352098,0.3040514,0.8914048000000001,0.3039854,0.746983,0.2582806,0.2582386,0.2786508
0.808759,0.0,41.1969,0.0,0.9148008,0.2739248,0.3419665999999999,0.6481134,0.273146,0.9253312,0.237196,0.2883684,0.2379
0.376656,0.0,82.0463,0.0,0.1574554,0.03908472,0.0420711,0.1350052,0.03776256,0.164691,0.05255124,0.05846646,0.05365698
