,F,L,E,I,delta,theta
0,4332.046,9.743647,149.62566,13769.579,64.83502,0.5718761
1,3768.7124,7.8370185,176.82217,7472.724,45.762386,0.50184745
2,3728.9172,10.387497,108.84774,6640.568,192.739,1.5946764
3,4275.6396,6.315188,113.20305,11324.916,27.999197,0.38104227
4,4434.5146,10.639669,130.74228,7858.1377,173.29002,1.3997785
5,2884.6978,9.898765,163.40787,9082.215,62.843056,0.5456199
6,3335.6577,6.666347,149.00934,13989.152,15.802255,0.20372535
7,4158.5337,6.4609675,189.64447,12306.74,16.018745,0.213081
8,2773.132,10.455065,145.5628,5014.899,144.7161,1.1896083
9,4902.575,10.966282,163.23062,9717.027,135.87708,1.06488
10,2472.5012,8.718158,134.88934,9641.619,41.991543,0.41395295
11,4192.1704,7.5231614,140.17172,13901.017,30.535978,0.34883925
12,2422.5312,9.9235325,102.232574,5609.528,137.6041,1.1917332
13,3981.5996,9.627859,116.885895,12270.216,82.58691,0.73721707
14,4547.6855,8.187995,129.38884,5081.3643,126.56823,1.3284984
15,3680.8242,10.501543,151.85217,5076.309,184.33766,1.5086026
16,3349.6582,10.120436,169.76675,7193.2573,94.776054,0.80484694
17,4453.87,9.123252,180.00113,5196.0464,120.536064,1.1354847
18,2422.9385,9.798071,116.10294,9223.166,70.94464,0.62229013
19,2488.0015,6.158259,128.22685,13133.897,11.500868,0.16050424
20,2221.5552,7.3289785,168.16086,8251.584,21.008928,0.24636237
21,2576.6763,8.774046,191.5194,6087.3687,49.761784,0.48742735
22,3538.9314,9.179857,139.70999,9112.867,71.6764,0.67104894
23,2819.8313,8.158223,187.41559,5837.425,46.65107,0.4914506
24,3834.1775,9.443969,141.94083,12552.949,60.417316,0.54982036
25,3550.6174,9.261574,155.29071,10150.619,59.648422,0.5535133
26,4748.3857,6.18949,195.2738,13491.01,14.24626,0.19781531
27,2849.588,9.288546,103.616486,11408.984,64.391426,0.5957914
28,3089.6501,8.296737,118.5231,11109.055,44.671432,0.46273932
29,4492.091,6.7796364,137.34174,11016.311,30.839533,0.3909446
30,3120.7183,8.58437,130.51001,13679.898,36.85801,0.36900932
31,4936.092,7.885152,193.20004,6684.908,62.45821,0.6807589
32,2904.23,7.1724,117.59102,6748.173,45.01351,0.53937685
33,3483.572,6.2219076,126.98335,12960.799,16.994001,0.23473941
34,3144.608,10.591407,115.06798,11133.123,97.21532,0.788851
35,4199.8203,6.981759,103.17195,13626.484,33.88899,0.4171647
36,4074.7512,8.835778,120.81297,10548.837,73.5184,0.7150974
37,2701.2075,10.50275,192.9799,11129.209,48.570152,0.39744794
38,4488.412,8.185043,172.31091,12273.443,38.793167,0.40733156
39,3404.6865,6.861465,174.23363,12432.122,16.92502,0.21199529
40,3120.6836,6.081356,152.62958,11969.222,12.806345,0.18098335
41,3469.7427,8.915384,124.36582,5971.087,110.36764,1.0639362
42,4543.919,7.2455945,158.45923,10802.632,33.65769,0.3992309
43,4971.412,8.682315,103.31526,6420.476,163.50589,1.6184964
44,4229.8857,9.298553,113.87169,10080.86,98.7507,0.9127224
45,3762.4739,7.791664,124.2235,11963.475,39.919193,0.440317
46,4478.951,10.195122,181.5469,7995.8945,108.98743,0.91875106
47,2872.7483,8.174674,179.31607,13404.271,21.763327,0.22880666
48,2716.0955,7.5022826,127.82525,13506.599,22.143251,0.25366575
49,3066.8213,6.8470054,148.19588,10795.516,20.511133,0.25745592
50,2529.164,9.258505,181.97803,6244.6016,58.878212,0.5465472
51,4144.953,6.9543624,199.70667,9593.92,24.253902,0.29973555
52,3642.4846,9.025521,169.84412,13001.357,40.42538,0.38494238
53,2986.7983,8.184475,156.75464,10308.246,33.7794,0.35471126
54,3347.7166,10.218138,183.52432,13420.26,48.337944,0.40656525
55,3470.2583,7.2743917,120.55988,9825.63,37.589573,0.44410387
56,4786.1455,7.268444,159.3172,7415.927,51.851448,0.61310285
57,4838.9995,8.176913,111.234726,12436.514,63.74754,0.6700202
58,2345.228,6.973046,115.345695,10989.166,20.910542,0.25772503
59,4049.745,9.45311,124.17082,11984.538,76.62839,0.69667274
60,4079.2214,7.5842524,172.62366,6811.182,50.451206,0.5717059
61,4073.5515,9.525688,170.10802,6087.9883,113.32937,1.0224922
62,3295.5027,9.950932,120.38237,12513.979,71.85108,0.6205596
